ITEM,FREQUENCY OF CLEANING,CLEANING EQUIPMENT,CLEANING CHEMICAL,METHOD
BRAAI GRILLER 1,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
BRAAI GRILLER 2,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
COMBO STEAM OVEN 1,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
COMBO STEAM OVEN 2,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
CHICKEN ROTISSERIE,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
PRESSURE FRYER,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
PIZZA OVEN,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
CHIP FRYER FRONT,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
CHIP FRYER BACK,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
CHIP DUMPER,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
FLOOR BACK,Daily or when visibly soiled,"Broom, Squeegee & Mop",all purpose & sanitiser,"Wash, wipe & sanitize"
FLOOR FRONT,Daily or when visibly soiled,"Broom, Squeegee & Mop",all purpose & sanitiser,"Wash, wipe & sanitize"
COLDROOM,Daily or when visibly soiled,"Broom, Squeegee & Mop",all purpose & sanitiser,"Wash, wipe & sanitize"
MAIN FREEZER,Daily or when visibly soiled,"Broom, Squeegee & Mop",allpurpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize"
BAR FRIDGE,Daily or when visibly soiled,"Broom, Squeegee & Mop",allpurpose & sanitiser,"Wash, scrub, rinse, wipe & sanitize"
HOT BAIN MARIE,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,Wash & sanitize
CHEESE CUTTER,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,Wash & sanitize
BLAST CHILLER,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
PIZZA FRIDGE,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,"Wash, scrub, wipe & sanitize"
CUPBOARDS,Daily or when visibly soiled,Cloth,allpurpose & sanitiser,Wash & sanitize
SALAD BAR FRIDGE,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,"Wash, scrub, wipe & sanitize"
EXTRACTOR FAN FRONT,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
EXTRACTOR FAN BACK,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
GAS STOVE,Daily or when visibly soiled,Brush and Cloth,DEGREASER & SANITIZER,WASH SCRUB & SANITISER
UTENSILS & BUCKETS,Daily or when visibly soiled,Brush and Scrapper,Resider,WASH & SANITISER
CUTTING BOARDS,Daily or when visibly soiled,Brush and Scrapper,Resider,WASH & SOAK RECIDER
SHELF STORAGE,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,"Wash, scrub, wipe & sanitize"
SPAC TANK,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,"Wash, scrub, rinse, wipe & sanitize"
TABLES,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,"Wash, scrub, wipe & sanitize"
FOOD STORAGE,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,"Wash, scrub, wipe & sanitize"
AIR VENT,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,"Wash, scrub, wipe & sanitize"
WALLS,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,"Wash, scrub, wipe & sanitize"
LIGHT FITTING,Daily or when visibly soiled,Brush and Cloth,allpurpose & sanitiser,"Wash, scrub, wipe & sanitize"
MICRO WAVES,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITIZER,WASH SCRUB & SANITISER
GRAB & GO FRIDGE,Daily or when visibly soiled,Brush and Scrapper,allpurpose & sanitiser,WASH SCRUB & SANITISER
"MOP, BROOMS & BINS",Daily,WASH,Resider,"Wash, scrub, rinse, wipe & sanitize"
BLINDS,Daily,WASH,Resider,"Wash, scrub, rinse, wipe & sanitize"